"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01005061",750,62.1,0.46,0.29,51.43,1.89,0.29,40.64,13.02,0.55,0.67
"E01005062",7144,32.44,0.15,0.09,19.89,1.54,0.25,49.19,30.04,0.26,0.63
"E01005063",1017,59,0.43,0.28,35.53,1.99,0.72,34.45,25.42,0.5,0.56
"E01005065",892,60.46,0.4,0.29,35.43,2.05,1.01,32.23,33.24,0.43,0.58
"E01005066",7253,32.18,0.16,0.13,13.11,1.36,0.73,40.16,31.73,0.29,0.57
"E01005067",77,76.75,0.44,0.34,79.81,2.38,1.84,33.87,22.49,0.52,0.51
"E01005068",1494,54.81,0.33,0.26,56.43,2.44,0.8,21.98,23.97,0.35,0.43
"E01005069",16490,17.31,0.09,0.08,18.47,0.65,0.12,22.42,24.71,0.07,0.18
"E01005070",2908,46.35,0.28,0.28,36.13,2.61,-0.02,19.43,12.1,0.26,0.37
"E01005071",2871,46.57,0.27,0.22,45.73,2.31,0.96,17.25,24.43,0.35,0.35
"E01005072",3453,43.87,0.27,0.22,29.17,2.19,0.7,18.6,28.94,0.3,0.41
"E01005073",10424,25.77,0.12,0.13,23.9,0.81,1.22,17.33,19.81,0.14,0.11
"E01005074",1730,53.03,0.35,0.28,43.36,2.37,0.8,17.54,18.38,0.47,0.34
"E01005075",4031,41.6,0.25,0.2,43.75,1.98,0.49,17.67,25.89,0.31,0.4
"E01005076",13261,21.26,0.08,0.07,3.96,1.33,1,18.13,34.29,0.08,0.34
"E01005077",868,60.74,0.41,0.3,44.14,1.99,1.41,20.1,18.56,0.51,0.45
"E01005078",18259,15.37,0.08,0.04,0.3,0.76,0.39,28.97,24.96,0.08,0.29
"E01005079",8110,30.29,0.17,0.13,9.33,1.13,1.37,28.52,20.32,0.21,0.26
"E01005081",2267,49.77,0.33,0.27,31.95,1.64,0.98,32.4,17.17,0.3,0.49
"E01005082",3331,44.38,0.31,0.24,29.26,2.14,0.4,18.08,17.08,0.37,0.45
"E01005083",18060,15.58,0.07,0.07,1.17,0.91,0.06,24.82,32.25,0.05,0.2
"E01005084",10079,26.38,0.2,0.13,14.27,0.88,0.81,14.89,24.8,0.26,0.27
"E01005085",1580,54.13,0.36,0.24,52.52,1.94,0.67,32.75,27.81,0.47,0.37
"E01005086",569,64.54,0.39,0.3,69.73,2.33,0.91,27.34,24.66,0.46,0.4
"E01005087",441,66.66,0.44,0.28,68.39,2.34,1.22,28.91,19.06,0.55,0.49
"E01005088",176,72.69,0.45,0.34,70.1,2.57,1.36,30.28,14.76,0.47,0.5
"E01005089",723,62.51,0.43,0.27,57.54,2.41,0.97,25.05,23.86,0.55,0.48
"E01005090",146,73.93,0.45,0.36,81.53,2.81,0.85,32.53,17.02,0.5,0.54
"E01005091",1465,54.98,0.34,0.25,59.22,2.11,1.02,25.85,19.09,0.42,0.41
"E01005092",1143,57.68,0.38,0.27,63.71,1.91,0.53,23.79,36.23,0.46,0.41
"E01005093",1201,57.21,0.4,0.27,48.99,2.02,0.84,25.87,21.67,0.52,0.42
"E01005094",937,59.91,0.44,0.28,50.7,2.01,0.54,21.45,30.33,0.55,0.45
"E01005097",508,65.48,0.48,0.33,59.57,2.08,0.36,26.67,14.07,0.59,0.48
"E01005098",1229,56.99,0.35,0.33,46.8,2.04,0.02,29.07,21.03,0.38,0.39
"E01005099",843,60.98,0.44,0.31,52.6,1.79,0.79,26.72,18.13,0.5,0.46
